feature,importance
fault_rate_50,314
FFT_Feature2,264
Anomaly_Score,253
Normalized_Vibration,243
FFT_Feature1,205
Normalized_Temp,187
Normalized_Pressure,182
Normalized_Current,176
Normalized_Temp_delta,171
Normalized_Current_delta,168
FFT_Feature1_rollmean3,167
Normalized_Voltage,167
Normalized_Voltage_rollmean15,167
FFT_Feature1_delta,157
Normalized_Temp_rollstd3,156
Anomaly_Score_rollstd30,155
FFT_Feature1_rollstd3,154
Normalized_Vibration_rollmean3,154
Normalized_Voltage_rollstd7,153
Normalized_Vibration_delta,151
Normalized_Voltage_rollstd3,151
FFT_Feature2_delta,150
Normalized_Temp_rollstd7,150
Normalized_Current_rollstd7,149
Normalized_Voltage_delta,149
Normalized_Vibration_rollmean30,149
Normalized_Current_rollstd30,148
Normalized_Voltage_rollstd15,147
FFT_Feature2_rollmean30,147
Normalized_Current_rollmean15,145
FFT_Feature2_rollmean3,144
Normalized_Voltage_rollmean7,144
Normalized_Vibration_rollstd30,143
Normalized_Pressure_rollmean7,143
Normalized_Pressure_rollstd30,142
Normalized_Pressure_rollstd3,142
FFT_Feature1_rollstd7,142
Normalized_Temp_rollstd30,141
Anomaly_Score_rollstd7,139
Normalized_Vibration_rollstd15,139
FFT_Feature1_rollstd30,139
FFT_Feature2_rollmean7,138
Normalized_Current_rollmean7,137
Anomaly_Score_delta,137
FFT_Feature2_rollmean15,136
FFT_Feature1_rollmean15,136
Normalized_Voltage_rollmean3,136
Normalized_Voltage_rollmean30,136
Anomaly_Score_rollstd3,135
FFT_Feature2_rollstd7,134
Normalized_Temp_rollmean30,133
Normalized_Temp_rollmean7,131
FFT_Feature1_rollmean7,130
Normalized_Vibration_rollmean7,130
Normalized_Current_rollstd3,129
Anomaly_Score_rollmean3,128
Normalized_Current_rollmean3,128
Anomaly_Score_rollstd15,127
Normalized_Vibration_rollstd7,126
FFT_Feature1_rollstd15,126
Normalized_Pressure_rollmean3,126
Normalized_Vibration_rollstd3,125
Normalized_Pressure_rollstd7,125
FFT_Feature2_rollstd30,124
FFT_Feature2_rollstd15,123
Normalized_Current_rollmean30,123
Normalized_Pressure_rollstd15,123
Normalized_Temp_rollmean15,123
Anomaly_Score_rollmean7,121
Normalized_Pressure_delta,121
Normalized_Pressure_rollmean30,121
Anomaly_Score_rollmean15,120
Anomaly_Score_rollmean30,120
Normalized_Temp_rollstd15,120
Normalized_Vibration_rollmean15,120
FFT_Feature1_rollmean30,120
Normalized_Pressure_rollmean15,118
Normalized_Voltage_rollstd30,114
Normalized_Temp_rollmean3,113
Normalized_Current_rollstd15,109
FFT_Feature2_rollstd3,108
